El-array Spa.1 Spa.2 Spa.3 Spa.4 Rho Dev. M Sp Vp In Spa.5 Spa.6 Spa.7 Spa.8
Mixed/non-conventional 20.00 32.00 24.00 28.00 929.60 0.71 0.00 -18.14 15.670 0.424 0.00 0.00 0.00 0.00
Mixed/non-conventional 21.00 33.00 25.00 29.00 871.03 0.76 0.00 40.21 15.738 0.454 0.00 0.00 0.00 0.00
Mixed/non-conventional 22.00 34.00 26.00 30.00 858.81 0.56 0.00 -8.88 15.828 0.463 0.00 0.00 0.00 0.00
Mixed/non-conventional 23.00 35.00 27.00 31.00 873.29 0.53 0.00 -11.91 16.107 0.464 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 15.00 5.00 10.00 516.90 0.36 0.00 -36.42 15.495 0.942 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 16.00 6.00 11.00 517.24 0.27 0.00 43.43 15.230 0.925 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 17.00 7.00 12.00 528.13 0.45 0.00 -16.10 15.287 0.909 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 18.00 8.00 13.00 535.93 0.57 0.00 -26.26 15.380 0.902 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 19.00 9.00 14.00 541.67 0.36 0.00 25.72 15.416 0.894 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 20.00 10.00 15.00 573.49 0.63 0.00 11.88 15.352 0.841 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 21.00 11.00 16.00 600.39 0.34 0.00 -1.82 15.387 0.805 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 22.00 12.00 17.00 632.11 0.59 0.00 16.30 15.420 0.766 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 23.00 13.00 18.00 647.59 0.32 0.00 36.50 15.591 0.756 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 24.00 14.00 19.00 666.90 0.58 0.00 -17.73 15.566 0.733 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 25.00 15.00 20.00 679.74 0.48 0.00 9.53 15.516 0.717 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 26.00 16.00 21.00 673.67 0.17 0.00 6.75 15.652 0.730 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 27.00 17.00 22.00 665.76 0.50 0.00 -7.78 15.602 0.736 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 28.00 18.00 23.00 716.74 0.66 0.00 -3.86 15.978 0.700 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 29.00 19.00 24.00 767.03 0.54 0.00 18.31 15.391 0.630 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 30.00 20.00 25.00 796.27 0.37 0.00 -13.74 15.437 0.609 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 31.00 21.00 26.00 791.97 0.49 0.00 25.95 15.362 0.609 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 32.00 22.00 27.00 824.38 0.38 0.00 43.30 15.470 0.590 0.00 0.00 0.00 0.00
Mixed/non-conventional 18.00 33.00 23.00 28.00 765.92 0.41 0.00 -11.47 15.470 0.635 0.00 0.00 0.00 0.00
Mixed/non-conventional 19.00 34.00 24.00 29.00 745.32 0.62 0.00 4.39 15.559 0.656 0.00 0.00 0.00 0.00
Mixed/non-conventional 20.00 35.00 25.00 30.00 749.42 0.27 0.00 44.12 15.473 0.649 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 18.00 6.00 12.00 536.41 0.46 0.00 11.23 15.398 1.082 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 19.00 7.00 13.00 538.39 0.60 0.00 -20.56 15.312 1.072 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 20.00 8.00 14.00 545.93 0.43 0.00 2.35 15.276 1.055 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 21.00 9.00 15.00 552.91 0.91 0.00 -20.64 15.398 1.050 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 22.00 10.00 16.00 573.63 0.71 0.00 -22.65 15.409 1.013 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 23.00 11.00 17.00 597.07 0.85 0.00 -23.51 15.581 0.984 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 24.00 12.00 18.00 594.05 0.17 0.00 41.12 15.301 0.971 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 25.00 13.00 19.00 611.69 0.38 0.00 11.84 15.291 0.942 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 26.00 14.00 20.00 630.62 0.72 0.00 -15.30 15.509 0.927 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 27.00 15.00 21.00 650.18 0.20 0.00 36.70 15.373 0.891 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 28.00 16.00 22.00 655.00 0.91 0.00 19.23 15.681 0.903 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 29.00 17.00 23.00 667.38 0.70 0.00 18.51 15.298 0.864 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 30.00 18.00 24.00 692.17 0.41 0.00 5.45 15.477 0.843 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 31.00 19.00 25.00 706.69 0.28 0.00 -3.38 15.488 0.826 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 32.00 20.00 26.00 724.69 0.53 0.00 33.26 15.398 0.801 0.00 0.00 0.00 0.00
Mixed/non-conventional 15.00 33.00 21.00 27.00 733.36 0.43 0.00 16.08 15.394 0.791 0.00 0.00 0.00 0.00
Mixed/non-conventional 16.00 34.00 22.00 28.00 734.24 0.23 0.00 9.68 15.377 0.790 0.00 0.00 0.00 0.00
Mixed/non-conventional 17.00 35.00 23.00 29.00 714.88 0.46 0.00 9.55 15.434 0.814 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 21.00 7.00 14.00 564.35 0.42 0.00 -3.51 15.459 1.205 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 22.00 8.00 15.00 579.19 0.81 0.00 -66.65 15.384 1.168 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 23.00 9.00 16.00 572.49 1.04 0.00 -40.92 15.452 1.187 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 24.00 10.00 17.00 586.27 0.80 0.00 -12.22 15.480 1.161 0.00 0.00 0.00 0.00
Mixed/non-conventional 4.00 25.00 11.00 18.00 588.46 0.30 0.00 4.03 15.283 1.142 0.00 0.00 0.00 0.00
Mixed/non-conventional 5.00 26.00 12.00 19.00 594.15 0.49 0.00 10.61 15.427 1.142 0.00 0.00 0.00 0.00
Mixed/non-conventional 6.00 27.00 13.00 20.00 613.22 0.61 0.00 8.22 15.223 1.092 0.00 0.00 0.00 0.00
Mixed/non-conventional 7.00 28.00 14.00 21.00 632.00 0.29 0.00 -7.83 15.477 1.077 0.00 0.00 0.00 0.00
Mixed/non-conventional 8.00 29.00 15.00 22.00 644.45 0.60 0.00 32.26 15.262 1.042 0.00 0.00 0.00 0.00
Mixed/non-conventional 9.00 30.00 16.00 23.00 671.34 0.60 0.00 59.96 15.348 1.006 0.00 0.00 0.00 0.00
Mixed/non-conventional 10.00 31.00 17.00 24.00 666.29 0.30 0.00 40.84 15.359 1.014 0.00 0.00 0.00 0.00
Mixed/non-conventional 11.00 32.00 18.00 25.00 685.20 0.63 0.00 -7.44 15.516 0.996 0.00 0.00 0.00 0.00
Mixed/non-conventional 12.00 33.00 19.00 26.00 693.58 0.37 0.00 47.87 15.548 0.986 0.00 0.00 0.00 0.00
Mixed/non-conventional 13.00 34.00 20.00 27.00 695.56 0.56 0.00 36.77 15.527 0.982 0.00 0.00 0.00 0.00
Mixed/non-conventional 14.00 35.00 21.00 28.00 687.21 0.30 0.00 -2.55 15.473 0.990 0.00 0.00 0.00 0.00
Mixed/non-conventional 0.00 24.00 8.00 16.00 598.83 0.89 0.00 -29.03 15.473 1.299 0.00 0.00 0.00 0.00
Mixed/non-conventional 1.00 25.00 9.00 17.00 592.06 0.74 0.00 13.88 15.262 1.296 0.00 0.00 0.00 0.00
Mixed/non-conventional 2.00 26.00 10.00 18.00 583.10 0.37 0.00 38.37 15.301 1.319 0.00 0.00 0.00 0.00
Mixed/non-conventional 3.00 27.00 11.00 19.00 597.17 0.30 0.00 -5.17 15.258 1.284 0.00 0.00 0.00 0.00
